Title,Date,City,Location,Category,Source,Link
Liberty Science Center Wild About Animals Spring Celebration,"Sat, Mar 28 · 10:00 AM",New Jersey,"222 Jersey City BlvdLiberty State Park, Jersey City",Other,Yelp Events,https://www.yelp.com/events/jersey-city-liberty-science-center-wild-about-animals-spring-celebration
DisruptHR Pittsburgh April 2026 Event,"Wed, Apr 1",Pittsburgh,"Rivers Casino, Pittsburgh",Other,Eventbrite,https://www.eventbrite.com/e/disrupthr-pittsburgh-april-2026-event-tickets-1981007744491
Blue Lou's Comedy Club  |   Open Mic Night!,"Wed, Apr 1",Pittsburgh,"1514 E Carson St, Pittsburgh",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/blue-lous-comedy-club-open-mic-night-tickets-1304696314799
Yoga Class,"Wed, Apr 1",Pittsburgh,"Emphico, Coraopolis",Wellness,Eventbrite,https://www.eventbrite.com/e/yoga-class-tickets-1979092604255
Trivia Night at The Chubby Pickle,"Wed, Apr 1",New Jersey,"The Chubby Pickle, Highlands",Other,Eventbrite,https://www.eventbrite.com/e/trivia-night-at-the-chubby-pickle-tickets-1497751879189
"Dance Sassy with Chris – Unleash Your Diva! (M/W, Dance Complex)","Wed, Apr 1",Cambridge,"The Dance Complex, Cambridge",Other,Eventbrite,https://www.eventbrite.com/e/dance-sassy-with-chris-unleash-your-diva-mw-dance-complex-tickets-1985083956551
Silent Book Club of Woburn,"Wed, Apr 1",Cambridge,"327 Main St, Woburn, MA, USA, Woburn",Culture & Learning,Eventbrite,https://www.eventbrite.com/e/silent-book-club-of-woburn-tickets-1984513958672
Flash Comedy,"Wed, Apr 1",New York,"Mood Ring, Brooklyn",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/flash-comedy-tickets-1979288921445
Adult Majorette Dance Class,"Wed, Apr 1",New York,"Fit4Dance, BROOKLYN",Other,Eventbrite,https://www.eventbrite.com/e/adult-majorette-dance-class-tickets-1978807688063
Re:Set with Dave Lawrence & Medux,"Wed, Apr 1 · 10:00 AM",Boston,"Phoenix Landing, Boston",Other,Resident Advisor,https://ra.co/events/2408314
Discovering King Tut's Tomb,"Wed, Apr 1 · 10:00 AM",Boston,"The Saunders Castle at Park Plaza, Boston",Other,Fever,https://feverup.com/m/532123
Dino Safari: A Walk-Thru Adventure,"Wed, Apr 1 · 11:00 AM",Cambridge,"CambridgeSide, Cambridge",Outdoor & Fitness,Fever,https://feverup.com/m/564900
Anonymous Sonic Artist Creates - Open Studio,"Wed, Apr 1 · 11:30 AM",New York,"TBA - Reforesters Laboratory, New York City",Other,Resident Advisor,https://ra.co/events/2375625
Passover 2026 at Talia's - Kosher Restaurant NYC (Upper West Side),"Wed, Apr 1 · 2:00 PM",New York,"Talias Steakhouse, New York City",Social & Dining,Resident Advisor,https://ra.co/events/2349391
DEEP PRANA Sound Bath,"Wed, Apr 1 · 6:00 PM",Pittsburgh,"TBA - Location will be emailed to you after ticket purchase., Pittsburgh",Wellness,Resident Advisor,https://ra.co/events/2382906
Bubble Planet: An Immersive Experience at American Dream,"Wed, Apr 1 · 6:30 PM",New Jersey,"American Dream, Jersey City",Other,Fever,https://feverup.com/m/176115
Open Decks with STEEN and OJ Acetone,"Wed, Apr 1 · 7:00 PM",New York,"SILO, New York City",Other,Resident Advisor,https://ra.co/events/2354476
Intro To Ableton Lab: Mixing and Mastering Level 1,"Wed, Apr 1 · 7:00 PM",New York,"Nowadays, New York City",Other,Resident Advisor,https://ra.co/events/2361515
"Club Akira: Jonquar , Lo , hellcartier , CryoutMercy, Iluvonionz, Deesworld, Evayin, D.va","Wed, Apr 1 · 7:00 PM",New York,"Jupiter Disco, New York City",Other,Resident Advisor,https://ra.co/events/2392633
Cirque du Soleil 2026: LUZIA in Miami,"Wed, Apr 1 · 7:30 PM",New York,"Under the Big Top at Gulfstream Park, Miami",Other,Fever,https://feverup.com/m/457507
Outer Heaven presents: Rana Iravani + Auphoria,"Wed, Apr 1 · 8:00 PM",New York,"Outer Heaven, New York City",Other,Resident Advisor,https://ra.co/events/2383563
REMEDY PLACE BOSTON ANNIVERSARY PARTY,"Wed, Apr 1 · 8:00 PM",Boston,"Remedy Place Boston, 370 Summer St, Boston",Other,Luma · Personal,https://lu.ma/wthc4x3n
Deep AF,"Wed, Apr 1 · 9:00 PM",Pittsburgh,"The Government Center, Pittsburgh",Other,Resident Advisor,https://ra.co/events/2399227
DANCE FOOL! - Analog Soul + Donny Burlin = OEA Collective - OEA presents:,"Wed, Apr 1 · 10:00 PM",New York,"Bossa Nova Civic Club, New York City",Other,Resident Advisor,https://ra.co/events/2375703
Luck O' The Irish: Dances with Fools,"Wed, Apr 1 · 10:00 PM",New York,"TBA, New York City",Other,Resident Advisor,https://ra.co/events/2380947
