Title,Date,City,Location,Category,Source,Link
McCormick & Schmick's + Stags' Leap Wine Dinner - Pittsburgh,"Fri, Aug 21","Pittsburgh, PA","McCormick & Schmick's Seafood & Steaks, Pittsburgh",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/mccormick-schmicks-stags-leap-wine-dinner-pittsburgh-tickets-1980751783906
5k Beer Run x Strange Roots | 2026 PA Brewery Running Series,"Sat, Aug 22","Pittsburgh, PA","Strange Roots Experimental Ales, Millvale",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/5k-beer-run-x-strange-roots-2026-pa-brewery-running-series-tickets-1980773782705
New Jersey African Restaurant Week Festival 2026,"Sat, Aug 22","Newark, NJ","Source of Knowledge (Street Festival), Newark",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/new-jersey-african-restaurant-week-festival-2026-tickets-871154746297
Bruno Mars at Acrisure Stadium,"Sat, Aug 29","Pittsburgh, PA","Acrisure Stadium, Pittsburgh",Outdoor & Fitness,Allevents,https://allevents.in/pittsburgh/bruno-mars-at-acrisure-stadium/2400029485752650
Sazón Latin Food Festival 2026: Brooklyn’s Taste of Latin American Food,"Sun, Aug 30","New York City, NY","Greenwood Park, Brooklyn",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/sazon-latin-food-festival-2026-brooklyns-taste-of-latin-american-food-tickets-1980903880832
Caribbean Rum & Food Festival,"Sat, Sep 12","Boston, MA","Roxbury Community College, Boston",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/caribbean-rum-food-festival-tickets-1979209753652
Chart House - Prisoner Wine Dinner - Boston,"Thu, Sep 17","Boston, MA","Chart House, Boston",Food & Drink,Eventbrite,https://www.eventbrite.com/e/chart-house-prisoner-wine-dinner-boston-tickets-1982467998149
2026 - New York African Restaurant Week Festival -,"Fri, Sep 18","New York City, NY","Restoration Plaza, Brooklyn",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/2026-new-york-african-restaurant-week-festival--tickets-1986132308199
Latin Food Fest,"Sat, Sep 19","New York City, NY","Industry City, Brooklyn",Other,Eventbrite,https://www.eventbrite.com/e/latin-food-fest-tickets-1982465471592
5k Beer Run x Inner Groove | 2026 PA Brewery Running Series,"Sat, Oct 3","Pittsburgh, PA","Inner Groove Brewing - Verona, Verona",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/5k-beer-run-x-inner-groove-2026-pa-brewery-running-series-tickets-1984395762143
Ugly Sweater Beer Run x Cinderlands | 2026 PA Brewery Running Series,"Sat, Dec 12","Pittsburgh, PA","Cinderlands Warehouse, Pittsburgh",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/ugly-sweater-beer-run-x-cinderlands-2026-pa-brewery-running-series-tickets-1978759542057
The Jury Experience - Gift Card,"Tue, Jan 1 · 11:00 AM","Pittsburgh, PA","Secret Location Pittsburgh, Pittsburgh",Other,Fever,https://feverup.com/m/501958
SEO Visibility Clinic: Live Website Teardowns + 7 Day Action Plan,"Wed, Apr 8 · 11:00 AM","Pittsburgh, PA",Online,Other,Meetup · Organic Growth Lab Boston,https://www.meetup.com/organic-growth-lab-boston/events/313852273/
Unlock Your LinkedIn Profile and Reenter the Workforce — Even After Years Away,"Wed, Apr 8 · 8:00 PM","Cambridge, MA",Online,Other,Meetup · Her Dream Map - personal & car,https://www.meetup.com/her-dream-map-personal-career-growth-for-women/events/313968975/
Claude Code: From Setup to Agentic Workflows | AICHR,"Thu, Apr 9 · 6:30 PM","Pittsburgh, PA",Online,Other,Meetup · 🧜‍♀️ The AI Collective Hampton,https://www.meetup.com/aicollectivehr/events/313849897/
