Title,Date,City,Location,Category,Source,Link
Senior Celebration Trivia Night,"Fri, Apr 3","Cambridge, MA","Newburyport Elks Function Rooms and Pavillion, Newburyport",Other,Eventbrite,https://www.eventbrite.com/e/senior-celebration-trivia-night-tickets-1983324590239
"Avalon Dance Productions presents ""ICONS — Live Music & Dance Showcase""","Fri, Apr 3","Boston, MA","Crystal Ballroom, Somerville",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/avalon-dance-productions-presents-icons-live-music-dance-showcase-tickets-1982160567616
"HANDCRAFTED HARMONY: 2026 BOSTON ARTISAN, MAKERS AND VENDOR MARKET","Fri, Apr 3","Boston, MA","Boston Common, Boston",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/handcrafted-harmony-2026-boston-artisan-makers-and-vendor-market-tickets-1983467404400
Foodies + New Friends Boston | Basketball Fans Edition,"Fri, Apr 3","Boston, MA","Restaurant of the Week, Boston",Food & Drink,Eventbrite,https://www.eventbrite.com/e/foodies-new-friends-boston-basketball-fans-edition-tickets-1948409518319
Chair Yoga at Ethical Culture,"Fri, Apr 3","New York City, NY","New York Society for Ethical Culture, New York",Wellness,Eventbrite,https://www.eventbrite.com/e/chair-yoga-at-ethical-culture-tickets-1980198694601
Evening Spin: A Pottery Date Night,"Fri, Apr 3","Hoboken, NJ","ShanaBPottery The Studio, Union City",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/evening-spin-a-pottery-date-night-tickets-1982630583446
In-Person Class: Classic and Creative Cocktails (NYC- Even Hotel),"Fri, Apr 3","New York City, NY","EVEN Hotel New York - Midtown East, an IHG Hotel, New York",Food & Drink,Eventbrite,https://www.eventbrite.com/e/in-person-class-classic-and-creative-cocktails-nyc-even-hotel-tickets-1983401118136
Friday Nights in Bayonne | Dinner with New Friends (Giving Back Edition),"Fri, Apr 3","New York City, NY","Restaurant of the Week, Bayonne",Food & Drink,Eventbrite,https://www.eventbrite.com/e/friday-nights-in-bayonne-dinner-with-new-friends-giving-back-edition-tickets-1976795434358
Above the Code: MCP Summit Social hosted by AWS Open Source,"Fri, Apr 3 · 12:30 AM","New York City, NY","Elsie Rooftop, 1412 Broadway, New York",Social,Luma · Personal,https://lu.ma/jex5jvcu
Aladdin on Broadway,"Fri, Apr 3 · 1:00 PM","New York City, NY","New Amsterdam Theatre, New York",Culture & Learning,Fever,https://feverup.com/m/316350
Robotics & Embodied Intelligence!,"Fri, Apr 3 · 1:30 PM","New York City, NY","370 Jay St, Brooklyn, NY 11201",Other,Luma · Deep Tech Week,https://lu.ma/ppscswcn
Accelerating New Nuclear with AI,"Fri, Apr 3 · 2:00 PM","New York City, NY",New York,Other,Luma · Deep Tech Week,https://lu.ma/6t9pcsfm
Candlelight: 90s Hip-Hop on Strings,"Fri, Apr 3 · 7:00 PM","Boston, MA","Simons Theatre, Boston",Arts & Crafts,Fever,https://feverup.com/m/472230
Build Your Agentic Research Assistant,"Fri, Apr 3 · 7:00 PM","Cambridge, MA",Cambridge,Other,Luma · Personal,https://lu.ma/bvjy0mnr
"Family Nature Night & Bonfire Social at New Weis Center (Ringwood, NJ)","Fri, Apr 3 · 7:00 PM","New York City, NY","150 Snake Den Rd, Ringwood",Outdoor & Fitness,Yelp Events,https://www.yelp.com/events/ringwood-family-nature-night-and-bonfire-social-at-new-weis-center-ringwood-nj
Dan Docimo: One Night Only,"Fri, Apr 3 · 8:00 PM","Pittsburgh, PA","1226 Arlington Ave, Pittsburgh",Food & Drink,Yelp Events,https://www.yelp.com/events/pittsburgh-dan-docimo-one-night-only
DestiNation At DESTINOS,"Fri, Apr 3 · 9:00 PM","Jersey City, NJ","Destino Lounge, New Jersey",Other,Resident Advisor,https://ra.co/events/2397782
Brat City X System Failure present: Leonce,"Fri, Apr 3 · 9:00 PM","Boston, MA","288 Green St, Boston",Other,Resident Advisor,https://ra.co/events/2393646
DMTRI,"Fri, Apr 3 · 9:30 PM","Boston, MA","Bsmnt, Boston",Other,Resident Advisor,https://ra.co/events/2406636
"GOOD MUSIC FRIDAYS WITH ZAC DEAN, TONY SPINS, & DJ VIC","Fri, Apr 3 · 10:00 PM","Jersey City, NJ","Porta, New Jersey",Music & Entertainment,Resident Advisor,https://ra.co/events/2402873
Angrybaby: The Spring Tour 2026,"Fri, Apr 3 · 10:00 PM","Boston, MA","The Grand, Boston",Culture & Learning,Resident Advisor,https://ra.co/events/2406631
Different Font,"Fri, Apr 3 · 10:00 PM","Boston, MA","Mémoire Boston, Boston",Other,Resident Advisor,https://ra.co/events/2406638
Costa's Wicked Rippah,"Fri, Apr 3 · 10:00 PM","Boston, MA","Scorpion Bar Boston, Boston",Other,Resident Advisor,https://ra.co/events/2406639
FIRST FRIDAY'S: BOSTON UNDERGROUND,"Fri, Apr 3 · 10:00 PM","Boston, MA","The Chemist, Boston",Other,Resident Advisor,https://ra.co/events/2407455
"Tea, Chat & Meditation","Fri, Apr 3 · 10:00 PM","New York City, NY","Dharma Drum Meditation Center, 122 W 26th St suite 801, New York",Wellness,Luma · Dharma Drum Meditation Ce,https://lu.ma/gna34292
Groovy,"Sat, Apr 4","Boston, MA","Sorrel and Lime, Boston",Other,Eventbrite,https://www.eventbrite.com/e/groovy-tickets-1985200860213
EASTER KIDS CRUISE NEW JERSEY CITY SATURDAY 2:30PM,"Sat, Apr 4","Jersey City, NJ","Liberty Harbor Marina Boatyard, Jersey City",Other,Allevents,https://allevents.in/jersey-city/easter-kids-cruise-new-jersey-city-saturday-2-30pm/100001984681041421
Easter FUNDAY,"Sat, Apr 4","Jersey City, NJ","276 1st St, Jersey City, NJ 07302, United States, Jersey City",Other,Allevents,https://allevents.in/jersey-city/easter-funday/200029553941331
Easter Weekend Kids Party Cruise,"Sat, Apr 4","Jersey City, NJ","11 Marin Blvd, Jersey City",Other,Allevents,https://allevents.in/jersey-city/easter-weekend-kids-party-cruise/100001984208988498
VINYL RECORDS! Jersey City Record Riot! An outdoor vinyl mkt Sat April 4th,"Sat, Apr 4","Jersey City, NJ","Grove Street PATH Plaza, Jersey City",Outdoor & Fitness,Allevents,https://allevents.in/jersey-city/vinyl-records-jersey-city-record-riot-an-outdoor-vinyl-mkt-sat-april-4th/100001984983407807
Easter Vigil | Vigilia Pascual,"Sat, Apr 4","Newark, NJ","Cathedral Basilica of the Sacred Heart, Newark",Other,Allevents,https://allevents.in/newark/easter-vigil-|-vigilia-pascual/200029860839406
Fun Family Festival Easter Egg Hunt!,"Sat, Apr 4","Newark, NJ","The Rock Place, Newark",Music & Entertainment,Allevents,https://allevents.in/newark/fun-family-festival-easter-egg-hunt/100001984939920736
DONUTS WITH THE EASTER BUNNY,"Sat, Apr 4","Newark, NJ","7th Ave at Clifton Ave, Newark, NJ, Newark",Other,Allevents,https://allevents.in/newark/donuts-with-the-easter-bunny/200029845037117
Easter Egg Hunt at Lamplighter CX,"Sat, Apr 4","Cambridge, MA","Lamplighter Brewing Co. - CX, Cambridge",Other,Allevents,https://allevents.in/cambridge/easter-egg-hunt-at-lamplighter-cx/100001985447133824
Easter Eggstravaganza!,"Sat, Apr 4","Cambridge, MA","Cambridge Community Center, Cambridge",Social,Allevents,https://allevents.in/cambridge/easter-eggstravaganza/100001985440331478
The Annual Royal Easter Ball Pittsburgh,"Sat, Apr 4","Pittsburgh, PA","Wyndham Grand Pittsburgh Downtown, Pittsburgh",Other,Allevents,https://allevents.in/pittsburgh/the-annual-royal-easter-ball-pittsburgh/100001984466689288
Blacklight Easter Egg Hunt,"Sat, Apr 4","Pittsburgh, PA","Fun Slides Carpet Skatepark and Party Center, Pittsburgh",Other,Allevents,https://allevents.in/pittsburgh/blacklight-easter-egg-hunt/100001984328714602
EASTER FEST,"Sat, Apr 4","Pittsburgh, PA","7600 Grand Ave, Pittsburgh",Other,Allevents,https://allevents.in/pittsburgh/easter-fest/100001983985282387
The Great Treasure Trove Easter Egg Hunt &amp; Sip + Shop,"Sat, Apr 4","Pittsburgh, PA","57 Noble Ave, Pittsburgh, PA, Pittsburgh",Other,Allevents,https://allevents.in/pittsburgh/the-great-treasure-trove-easter-egg-hunt-and-sip-shop/200029796381231
Easter Egg Hunt,"Sat, Apr 4","Pittsburgh, PA","Waverly Presbyterian Church, Pittsburgh",Other,Allevents,https://allevents.in/pittsburgh/easter-egg-hunt/100001983379596765
TrapxCanvas - Pittsburgh,"Sat, Apr 4","Pittsburgh, PA","Sheraton Pittsburgh Hotel at Station Square, Pittsburgh",Other,Eventbrite,https://www.eventbrite.com/e/trapxcanvas-pittsburgh-tickets-1984934350074
Adult Easter Egg Hunt,"Sat, Apr 4","New York City, NY","Tavern On the Green, New York",Other,Allevents,https://allevents.in/new-york/adult-easter-egg-hunt/100001983272544569
Fort Tryon Egg Hunt,"Sat, Apr 4","New York City, NY","Fort Tryon Park's Dongan Lawn, New York",Other,Allevents,https://allevents.in/new-york/fort-tryon-egg-hunt/100001984195051813
NYSoM Easter Eggstravaganza 2026,"Sat, Apr 4","New York City, NY","Sherman Creek, New York",Other,Allevents,https://allevents.in/new-york/nysom-easter-eggstravaganza-2026/100001978385349838
Eataly SoHo Easter Egg Hunt and Brunch,"Sat, Apr 4","New York City, NY","Eataly Soho, New York",Outdoor & Fitness,Allevents,https://allevents.in/new-york/eataly-soho-easter-egg-hunt-and-brunch/100001985166124317
Rum and Music &quot;CRUIZIN&quot; Spring Breeze 26,"Sat, Apr 4","New York City, NY","City Cruises, New York",Music & Entertainment,Allevents,https://allevents.in/new-york/rum-and-music-cruizin-spring-breeze-26/100001983791849825
Easter Kids Party Cruise,"Sat, Apr 4","New York City, NY","Kids Party Cruise, New York",Other,Allevents,https://allevents.in/new-york/easter-kids-party-cruise/100001980324593167
SIGNAL ROOM Vol. 2,"Sat, Apr 4","Newark, NJ","The Newark Standard, Newark",Other,Eventbrite,https://www.eventbrite.com/e/signal-room-vol-2-tickets-1984441776774
Chismecito Show - Daran Viendo NJ,"Sat, Apr 4","Newark, NJ","Sport Club Portuguese Inc, Newark",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/chismecito-show-daran-viendo-nj-tickets-1984163015993
Riichi Mahjong Learn-and-Play,"Sat, Apr 4","New York City, NY","Sparrow's Nest Studio, New York",Wellness,Eventbrite,https://www.eventbrite.com/e/riichi-mahjong-learn-and-play-tickets-1980245134504
Egg Hunt,"Sat, Apr 4","Boston, MA","Johnson Park, Boston",Other,Allevents,https://allevents.in/boston/egg-hunt/100001983973648590
Easter in the City: The Eggstravaganza - The Ultimate Easter Experience,"Sat, Apr 4","Boston, MA","Little Haiti International Cuisine, Boston",Other,Allevents,https://allevents.in/boston/easter-in-the-city-the-eggstravaganza-the-ultimate-easter-experience/100001985739249550
Downtown Comedy Club: Matthew P. Brown,"Sat, Apr 4","Boston, MA","Democracy Brewing, Boston",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/downtown-comedy-club-matthew-p-brown-tickets-1984326730668
Pottery Workshop - Wheel Throwing! (4/4; 2-4pm) Craft Art Day!,"Sat, Apr 4","Cambridge, MA","Pudgy’s Place, Peabody",Wellness,Eventbrite,https://www.eventbrite.com/e/pottery-workshop-wheel-throwing-44-2-4pm-craft-art-day-registration-1983464469622
Moss Art Workshop,"Sat, Apr 4","Cambridge, MA","Craft Loft (Cambridge Store), Cambridge",Wellness,Eventbrite,https://www.eventbrite.com/e/moss-art-workshop-tickets-1984073676777
Cardio Dance Community Class,"Sat, Apr 4","Boston, MA","Revamp Training, Boston",Social,Eventbrite,https://www.eventbrite.com/e/cardio-dance-community-class-tickets-1981881897105
Culinary Journey of Historic Boston - Food Tours by Cozymeal™,"Sat, Apr 4","Boston, MA","Location provided after booking, Boston",Food & Drink,Eventbrite,https://www.eventbrite.com/e/culinary-journey-of-historic-boston-food-tours-by-cozymealtm-tickets-1979672148688
"Lamplighter's ""Beer School"": Brewery Tour and Tasting","Sat, Apr 4","Cambridge, MA","Lamplighter Brewing Co. - Broadway, Cambridge",Food & Drink,Eventbrite,https://www.eventbrite.com/e/lamplighters-beer-school-brewery-tour-and-tasting-tickets-1979994706467
Tasty Thai Favorites - Cooking Class in Boston | Cozymeal™,"Sat, Apr 4","Cambridge, MA","Location provided after booking, Lexington",Food & Drink,Eventbrite,https://www.eventbrite.com/e/tasty-thai-favorites-cooking-class-in-boston-cozymealtm-tickets-1985208612400
Easter Egg Hunt Brunch,"Sat, Apr 4","Cambridge, MA","The Bell Inn & Tavern, Peabody",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/easter-egg-hunt-brunch-tickets-1985164047104
Swine and Unwind: Pig Yoga,"Sat, Apr 4","Pittsburgh, PA","Pigsburgh Squealers Rescue, Tarentum",Wellness,Eventbrite,https://www.eventbrite.com/e/swine-and-unwind-pig-yoga-tickets-1979316091712
Rooftop Vinyasa Yoga,"Sat, Apr 4","Pittsburgh, PA","Etage Athletic Club, Pittsburgh",Wellness,Eventbrite,https://www.eventbrite.com/e/rooftop-vinyasa-yoga-registration-1986213489013
Woodturning: Candle Holders with Hanna Dausch,"Sat, Apr 4","Pittsburgh, PA","Contemporary Craft - Timmons Studios, Pittsburgh",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/woodturning-candle-holders-with-hanna-dausch-registration-1979630546254
Metal Clay Whistle Pendant with Donna Penoyer,"Sat, Apr 4","Pittsburgh, PA","Contemporary Craft - Raphael Building, Pittsburgh",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/metal-clay-whistle-pendant-with-donna-penoyer-registration-1980132434415
Intro to Metal Chasing & Repousse with Leah Mazza,"Sat, Apr 4","Pittsburgh, PA","Contemporary Craft - Raphael Building, Pittsburgh",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/intro-to-metal-chasing-repousse-with-leah-mazza-registration-1983893982306
Kids Break Dance Class,"Sat, Apr 4","Pittsburgh, PA","Level Up Studios, Pittsburgh",Other,Eventbrite,https://www.eventbrite.com/e/kids-break-dance-class-tickets-1362398613929
The Comeunity Project: Pittsburgh | 30's Dinner,"Sat, Apr 4","Pittsburgh, PA","Restaurant of the Week, Pittsburgh",Food & Drink,Eventbrite,https://www.eventbrite.com/e/the-comeunity-project-pittsburgh-30s-dinner-tickets-1983594428332
Boston Singles Event: Trivia Night (Ages 25–40),"Sat, Apr 4","Boston, MA","Chemist Cocktail Bar, Boston",Wellness,Eventbrite,https://www.eventbrite.com/e/boston-singles-event-trivia-night-ages-2540-tickets-1985117779717
Founders Running Club :: New-York,"Sat, Apr 4","New York City, NY","Abingdon Square, New York",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/founders-running-club-new-york-tickets-1984060301772
commUNITY Run Club,"Sat, Apr 4","New York City, NY","Nicklz - Times Square Dispensary, New York",Wellness,Eventbrite,https://www.eventbrite.com/e/community-run-club-tickets-1781425925899
Vegan Spanish Feast - Cooking Class in NYC | Cozymeal™,"Sat, Apr 4","New York City, NY","Location provided after booking, Brooklyn",Wellness,Eventbrite,https://www.eventbrite.com/e/vegan-spanish-feast-cooking-class-in-nyc-cozymealtm-tickets-1983602784325
Local Eats in Greenwich Village - Food Tour in NYC | Cozymeal™,"Sat, Apr 4","New York City, NY","Location provided after booking, New York",Food & Drink,Eventbrite,https://www.eventbrite.com/e/local-eats-in-greenwich-village-food-tour-in-nyc-cozymealtm-tickets-1979672105559
The Taverns of New York: A Cocktail Themed Tour of Colonial Manhattan,"Sat, Apr 4","New York City, NY","Zuccotti Park, New York",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/the-taverns-of-new-york-a-cocktail-themed-tour-of-colonial-manhattan-tickets-1980654586185
Apotheke Academy - MARKET FRESH,"Sat, Apr 4","New York City, NY","Apotheke, New York",Food & Drink,Eventbrite,https://www.eventbrite.com/e/apotheke-academy-market-fresh-tickets-1983911984150
Brunch Me Baby Saturdays: Caribbean x Urban Bottomless Brunch,"Sat, Apr 4","New York City, NY","MAMATACO, Brooklyn",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/brunch-me-baby-saturdays-caribbean-x-urban-bottomless-brunch-tickets-1984161602766
Wayne Farmers Market (Winter Season),"Sat, Apr 4","Hoboken, NJ","Wayne Township Community Center, Wayne",Food & Drink,Eventbrite,https://www.eventbrite.com/e/wayne-farmers-market-winter-season-tickets-1955190259699
Lavender Market: Melt the Ice!,"Sat, Apr 4","New York City, NY","BOYFRIEND co-op café + bar, Brooklyn",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/lavender-market-melt-the-ice-tickets-1984135990158
Praise & Paint,"Sat, Apr 4","New York City, NY","1313 Bedford Ave, Brooklyn",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/praise-paint-tickets-1986042047226
The Vibrant Greenwich Village Neighborhood - Food Tour in NYC | Cozymeal™,"Sat, Apr 4","New York City, NY","Location provided after booking, New York",Food & Drink,Eventbrite,https://www.eventbrite.com/e/the-vibrant-greenwich-village-neighborhood-food-tour-in-nyc-cozymealtm-tickets-1979672107565
In-Person Class: Classic French Macarons (NYC),"Sat, Apr 4","New York City, NY","The Breakfast Room @ Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South, New York",Other,Eventbrite,https://www.eventbrite.com/e/in-person-class-classic-french-macarons-nyc-tickets-1982227055483
Le Rich Culinary Lab: Shio Pan/Salt Bread,"Sat, Apr 4","New York City, NY","A & C Culture Center inc., New York",Food & Drink,Eventbrite,https://www.eventbrite.com/e/le-rich-culinary-lab-shio-pansalt-bread-tickets-1985640244423
Bunny Bash Easter Egg Hunt,"Sat, Apr 4 · 10:00 AM","Boston, MA","250 Devonshire St, Boston",Arts & Crafts,Yelp Events,https://www.yelp.com/events/boston-bunny-bash-easter-egg-hunt
Studio Saturdays: Inner Child Found Art Sculptures,"Sat, Apr 4 · 10:30 AM","Boston, MA","161 Essex St, Salem",Outdoor & Fitness,Yelp Events,https://www.yelp.com/events/salem-studio-saturdays-inner-child-found-art-sculptures
Boston Code and Coffee @ CIC,"Sat, Apr 4 · 12:00 PM","Cambridge, MA","CIC Cambridge @ 1 Broadway, Cambridge",Food & Drink,Meetup · Boston Code and Coffee,https://www.meetup.com/boston-code-and-coffee/events/313684217/
Fix It Yourself: Everyday Clothing Repairs,"Sat, Apr 4 · 12:00 PM","New York City, NY","27-16 23rd Ave, Astoria",Arts & Crafts,Yelp Events,https://www.yelp.com/events/astoria-fix-it-yourself-everyday-clothing-repairs
"Personalized Agents Hackathon | Hosted by Lightning.AI, Validia","Sat, Apr 4 · 1:30 PM","New York City, NY","Newlab, 19 Morris Ave, Brooklyn",Other,Luma · Personal,https://lu.ma/0xjqdkau
[Stripe Press] Boston Pop-up,"Sat, Apr 4 · 3:00 PM","Cambridge, MA","VESTER Cambridge, 73 Ames St, Cambridge",Other,Luma · Personal,https://lu.ma/8qukz62d
Emerging Writers Summit,"Sat, Apr 4 · 4:00 PM","Boston, MA","Curry Student Center, 360 Huntington Ave, Boston",Other,Luma · Personal,https://lu.ma/4nz23bh8
WBGO presents All That Jazz at UCPAC's Hamilton Stage with Marion Meadows,"Sat, Apr 4 · 5:00 PM","Jersey City, NJ","TBA - Union County Performing Arts Center, New Jersey",Music & Entertainment,Resident Advisor,https://ra.co/events/2330276
TWIRL,"Sat, Apr 4 · 9:00 PM","Pittsburgh, PA","Bottlerocket Social Hall, Pittsburgh",Social,Resident Advisor,https://ra.co/events/2376322
DJ Brownie & Orchard Lounge,"Sat, Apr 4 · 9:00 PM","Pittsburgh, PA","Thunderbird Café & Music Hall, Pittsburgh",Music & Entertainment,Resident Advisor,https://ra.co/events/2403885
JÄG,"Sat, Apr 4 · 9:00 PM","Pittsburgh, PA","Mary's Bar, Pittsburgh",Other,Resident Advisor,https://ra.co/events/2404176
Sojourn presents: Young Sun & CHAOUKI Alba,"Sat, Apr 4 · 11:00 PM","Boston, MA","TBA - Secret Warehouse Location, Boston",Other,Resident Advisor,https://ra.co/events/2366114
Bunnies &amp; Bubbly: Easter Brunch at RoofTop at Exchange Place,"Sun, Apr 5","Jersey City, NJ","RoofTop at Exchange Place, Jersey City",Outdoor & Fitness,Allevents,https://allevents.in/jersey-city/bunnies-and-bubbly-easter-brunch-at-rooftop-at-exchange-place/80001068363959
Easter Weekend Kids Party Cruise Jersey City,"Sun, Apr 5","Jersey City, NJ","11 Marin Blvd, Jersey City",Other,Allevents,https://allevents.in/jersey-city/easter-weekend-kids-party-cruise-jersey-city/100001984209181074
Easter weekend Kids Cruise From Liberty Harbor Marina JC,"Sun, Apr 5","Jersey City, NJ","11 Marin Blvd, Jersey City",Other,Allevents,https://allevents.in/jersey-city/easter-weekend-kids-cruise-from-liberty-harbor-marina-jc/100001984204102885
Easter Sunday | Domingo de Resurrección,"Sun, Apr 5","Newark, NJ","Cathedral Basilica of the Sacred Heart, Newark",Other,Allevents,https://allevents.in/newark/easter-sunday-|-domingo-de-resurrección/200029860840110
Easter Sunday-BIGGEST PARTY OF THE YEAR,"Sun, Apr 5","Newark, NJ","7th Ave at Clifton Ave, Newark, NJ, United States, New Jersey 07104, Newark",Other,Allevents,https://allevents.in/newark/easter-sunday-biggest-party-of-the-year/200029734383215
Alive Again! Community Easter Celebration!,"Sun, Apr 5","Newark, NJ","The Rock Place, Newark",Social,Allevents,https://allevents.in/newark/alive-again-community-easter-celebration/100001984937904706
"Easter Sunday in Cambridge - Music, Message, Community","Sun, Apr 5","Cambridge, MA","Aletheia Church Cambridge, Cambridge",Music & Entertainment,Allevents,https://allevents.in/cambridge/easter-sunday-in-cambridge-music-message-community/100001986237413572
Easter at the Hyatt,"Sun, Apr 5","Cambridge, MA","Hyatt Regency Boston / Cambridge, Cambridge",Other,Allevents,https://allevents.in/cambridge/easter-at-the-hyatt/100001985972782052
Easter Sunday Grand Reception  -  Chart House Weehawken,"Sun, Apr 5","Hoboken, NJ","Chart House, Weehawken",Other,Eventbrite,https://www.eventbrite.com/e/easter-sunday-grand-reception-chart-house-weehawken-tickets-1983229946156
Easter Egg Hunt Family Brunch,"Sun, Apr 5","Hoboken, NJ","The Hoboken Biergarten, Hoboken",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/easter-egg-hunt-family-brunch-tickets-1986046272865
Easter,"Sun, Apr 5","Pittsburgh, PA","The Melting Pot (Pittsburgh, PA), Pittsburgh",Other,Allevents,https://allevents.in/pittsburgh/easter/200029849535513
Chef Zozula's Easter Brunch and Lamb cake bake off,"Sun, Apr 5","Pittsburgh, PA","black radish kitchen, Pittsburgh",Outdoor & Fitness,Allevents,https://allevents.in/pittsburgh/chef-zozulas-easter-brunch-and-lamb-cake-bake-off/100001984616960754
Resurrection Sunday at The Park,"Sun, Apr 5","New York City, NY","Park Avenue Christian Church, New York",Other,Allevents,https://allevents.in/new-york/resurrection-sunday-at-the-park/100001984402811227
Easter Service and Easter Egg Hunt,"Sun, Apr 5","New York City, NY","St. Mark's Church in-the-Bowery, East 10th Street, New York, NY, USA, New York",Other,Allevents,https://allevents.in/new-york/easter-service-and-easter-egg-hunt/100001984567537929
Harlem Easter Family Day Event!,"Sun, Apr 5","New York City, NY","228 E 125th St, New York",Other,Allevents,https://allevents.in/new-york/harlem-easter-family-day-event/100001985483104413
Easter Festivities at Restaurant DANIEL,"Sun, Apr 5","New York City, NY","Daniel, New York",Food & Drink,Allevents,https://allevents.in/new-york/easter-festivities-at-restaurant-daniel/80006891426785
Sip & Paint   (Watercolor),"Sun, Apr 5","New York City, NY","520 8th Ave, New York",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/sip-paint-watercolor-tickets-1985319967466
Easter Brunch at Omni Parker House,"Sun, Apr 5","Boston, MA","Parker's Restaurant, Boston",Outdoor & Fitness,Allevents,https://allevents.in/boston/easter-brunch-at-omni-parker-house/80001540607634
Easter Sunday Worship,"Sun, Apr 5","Boston, MA","455 Arborway, Boston",Other,Allevents,https://allevents.in/boston/easter-sunday-worship/100001983974102949
Easter BBQ Brunch Buffet Experience at Reunion BBQ,"Sun, Apr 5","Boston, MA","Reunion BBQ, Boston",Outdoor & Fitness,Allevents,https://allevents.in/boston/easter-bbq-brunch-buffet-experience-at-reunion-bbq/100001986140576931
Easter Brunch Buffet and Easter Egg Hunt,"Sun, Apr 5","Boston, MA","LUCIE drink + dine, Boston",Outdoor & Fitness,Allevents,https://allevents.in/boston/easter-brunch-buffet-and-easter-egg-hunt/100001984626292666
Run Club,"Sun, Apr 5","Cambridge, MA","lululemon, Millbury",Outdoor & Fitness,Eventbrite,https://www.eventbrite.ca/e/run-club-tickets-1980720066037
Intro to Tango (Dance classes for beginners),"Sun, Apr 5","Boston, MA","Dance Union Studio, Somerville",Other,Eventbrite,https://www.eventbrite.com/e/intro-to-tango-dance-classes-for-beginners-tickets-1983638647593
Easter Brunch,"Sun, Apr 5","Boston, MA","25 Kingston St, Boston",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/easter-brunch-tickets-1985838195500
Sunday Brunch Club,"Sun, Apr 5","Boston, MA","Loretta's Last Call, Boston",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/sunday-brunch-club-tickets-1977631714695
Live Jazz Brunch Sunday,"Sun, Apr 5","Boston, MA","Rochambeau, Boston",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/live-jazz-brunch-sunday-tickets-1816296223899
Sunday Morning Run Club: lululemon x Central Park Run Club,"Sun, Apr 5","New York City, NY","lululemon, New York",Outdoor & Fitness,Eventbrite,https://www.eventbrite.ca/e/sunday-morning-run-club-lululemon-x-central-park-run-club-tickets-1984774956323
Dried Flower Resin Craft Workshop,"Sun, Apr 5","New York City, NY","51 35th St b209, Brooklyn",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/dried-flower-resin-craft-workshop-tickets-1983681972178
AFRICAN  DANCE CLASS,"Sun, Apr 5","New York City, NY","520 8th Ave, New York",Other,Eventbrite,https://www.eventbrite.com/e/african-dance-class-tickets-1985316818046
Easter Sunday Kompa Dance Class,"Sun, Apr 5","New York City, NY","520 8th Ave, New York",Other,Eventbrite,https://www.eventbrite.com/e/easter-sunday-kompa-dance-class-tickets-1835404467169
RNB PRETTY GIRLS BRUNCH,"Sun, Apr 5","New York City, NY","District 385, Queens",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/rnb-pretty-girls-brunch-tickets-1984157426274
Big Apple Brunch & Day Party,"Sun, Apr 5","New York City, NY","HK Hall, New York",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/big-apple-brunch-day-party-registration-1980825276725
Prestige Sundays Brunch & Day Party| Bdays Eat For Free & Free Entry,"Sun, Apr 5","New York City, NY","OUT OF ORDINARY, New York",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/prestige-sundays-brunch-day-party-bdays-eat-for-free-free-entry-tickets-1981949355876
New York International Auto Show,"Sun, Apr 5 · 10:00 AM","New York City, NY","655 W 34th St, New York",Music & Entertainment,Yelp Events,https://www.yelp.com/events/new-york-new-york-international-auto-show-4
"In-person Robotics Workshop For Kids (Free) in Danvers, MA","Sun, Apr 5 · 11:00 AM","Boston, MA","50 Dayton St,, Danvers",Other,Yelp Events,https://www.yelp.com/events/danvers-in-person-robotics-workshop-for-kids-free-in-danvers-ma-2
"Manoj Dias x HBS: Spirituality and Religion in the ""Temple of Capitalism""","Sun, Apr 5 · 8:45 PM","Boston, MA","Class of 1959 Chapel, Gordon Rd, Boston",Other,Luma · Personal,https://lu.ma/1odq6lux
College Basketball Championship Game Watch Party at The Greatest Bar,"Mon, Apr 6","Boston, MA","The Greatest Bar, Boston",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/college-basketball-championship-game-watch-party-at-the-greatest-bar-tickets-1982831373013
